subjectGroup,GMT_timestamp,local_timestamp,mindsCode,link,calibration,age,sex,education,sexual orientation,Relationship Status,completionCode
"2",2020-07-15_10:20:50,2020-07-15_11:20:50,M061893,https://www.testable.org/experiment/3704/342405/start?participant=M061893,1,"24",female,Bachelor degree,Heterosexual or straight,living with partner,dKHUhh30O9q2NJ2u

rowNo,type,stim1,stimFormat,button1,ITI,trialText,random,subjectGroup,head,pageBreak,responseType,responseOptions,responseRows,required,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,responseCode
5,form,"","",NEXT,"","","","0",What gender do you prefer dating?,"1",radio,Female;Male,"","1",,"","",60715,Male,15552,"2"
16,test,M1,.jpg,"","600",<b>Jon is a psychologist. He studied at Kings College. He enjoys taking walks in the park.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.,"1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,34,"17.65",89009,4;2;2;7;3;5,27522,4
24,test,M9,.jpg,"","600",<b>Luke is a lawyer who studied at University of London. Luke likes taking day trips. </b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.,"1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,33,"18.18",109001,3;3;5;5;4;5,19260,3
20,test,M5,.jpg,"","600","<b>Max is a manager. He went to Exeter University, enjoys being outdoors.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.","1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,33,"18.19",134392,1;3;4;3;5;4,24649,1
22,test,M7,.jpg,"","600","<b>Eli is a teacher, who studied at Kings College. He loves putting together puzzles. </b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.","1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,35,"17.14",152218,4;6;5;4;6;3,17095,4
25,test,M10,.jpg,"","600",<b>Jamie is an analyst who studied at LSE. He enjoys cooking.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.,"1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,34,"17.65",170519,1;3;5;4;4;2,17547,1
21,test,M6,.jpg,"","600",<b>Mike is a chemist. He studied at Imperial. Mike likes riding his bike.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.,"1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,34,"17.65",192844,3;4;3;6;4;4,21542,3
23,test,M8,.jpg,"","600",<b>Matt is a engineer. He studied at Queen Mary University of London. He likes learning languages.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.,"1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,34,"17.65",214504,2;3;4;6;4;3,20929,2
17,test,M2,.jpg,"","600",<b>Nate is an architect. He attended UCL. On his days off he likes to read at a coffee shop.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.,"1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,35,"17.14",231086,4;6;7;5;6;1,15811,4
18,test,M3,.jpg,"","600",<b>Aaron is a professor. He studied at UCL. Aaron enjoys watching old movies.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.,"1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,34,"17.65",251731,6;5;5;7;5;2,19923,6
19,test,M4,.jpg,"","600","<b>James is a general administrator. He studied at UCL, likes to go ice skating.</b><br><br>Respond on a scale from 1(not at all) to 10(very much) for how you associate the following attributes with this person.","1",nsg:2,"","",slider,0_10,Attractive;Warm;Trustworthy;Dominant;Kind;Possibly unfaithful,"1",600,34,"17.65",264308,1;6;6;2;6;2,11844,1
40,test,M4,.jpg,"","600","<b>James is a general administrator. He studied at UCL, likes to go ice skating.</b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely)","1",nsg:2,"","",slider,0_10,"","1",600,35,"17.14",284175,"3",11817,3
43,test,M7,.jpg,"","600","<b>Eli is a teacher, who studied at Kings College. He loves putting together puzzles. </b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely)","1",nsg:2,"","",slider,0_10,"","1",600,35,"17.14",292186,"6",7384,6
44,test,M8,.jpg,"","600",<b>Matt is a engineer. He studied at Queen Mary University of London. He likes learning languages.</b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely),"1",nsg:2,"","",slider,0_10,"","1",600,35,"17.14",303731,"5",10913,5
41,test,M5,.jpg,"","600","<b>Max is a manager. He went to Exeter University, enjoys being outdoors.</b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely)","1",nsg:2,"","",slider,0_10,"","1",600,35,"17.14",313452,"4",9105,4
46,test,M10,.jpg,"","600",<b>Jamie is an analyst who stuied at LSE. He enjoys cooking.</b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely),"1",nsg:2,"","",slider,0_10,"","1",600,36,"16.67",319208,"1",5128,1
39,test,M3,.jpg,"","600",<b>Aaron is a  professor. He studied at UCL. Aaron enjoys watching old movies.</b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely),"1",nsg:2,"","",slider,0_10,"","1",600,35,"17.14",325960,"7",6118,7
37,test,M1,.jpg,"","600",<b>Jon is a psychologist. He studied at Kings College. He enjoys taking walks in the park. </b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely),"1",nsg:2,"","",slider,0_10,"","1",600,35,"17.14",332345,"3",5757,3
42,test,M6,.jpg,"","600",<b>Mike is a chemist. He studied at Imperial. Mike likes riding his bike.</b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely),"1",nsg:2,"","",slider,0_10,"","1",600,35,"17.14",336399,"5",3433,5
45,test,M9,.jpg,"","600",<b>Luke is a lawyer who studied at University of London. Luke likes taking day trips. </b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely),"1",nsg:2,"","",slider,0_10,"","1",600,36,"16.67",343051,"6",6022,6
38,test,M2,.jpg,"","600",<b>Nate is an architect. He attended UCL. On his days off he likes to read at a coffee shop.</b> <br><br>How likely are you to go on a date with this person? Respond on a scale from 1(extremely unlikely) to 10(extremely likely),"1",nsg:2,"","",slider,0_10,"","1",600,36,"16.67",350005,"5",6325,5
